mot;affichage;longueur;categorie;definition;registre;niveau;verif
ARME;arme;4;vocab;Le coup de pied arrêté est la sienne;factuel;1;point fort d'un joueur
ARME;arme;4;vocab;Fatale, elle sort du banc à la 70e;joueur;2;joker décisif
ARME;arme;4;vocab;Elle se dévoile au pire moment pour l'adversaire;joueur;2;atout gardé en réserve
ASEC;A.S.E.C.;4;clubs;Sigle du grand club d'Abidjan;factuel;3;championnat ivoirien
ASEC;A.S.E.C.;4;clubs;Son académie a formé les frères Touré;factuel;3;centre réputé
ASEC;A.S.E.C.;4;clubs;Quatre lettres jaune et noir;joueur;3;couleurs du club
ASIE;Asie;4;competitions;Continent dont la Coupe se joue tous les quatre ans;factuel;2;épreuve continentale
ASIE;Asie;4;competitions;Sa confédération a envoyé huit équipes en 2026;factuel;3;quota du format élargi
ASIE;Asie;4;competitions;Quatre lettres qui ont reçu le Mondial trois fois;joueur;2;2002, 2022 et à venir
ASNL;A.S.N.L.;4;clubs;Sigle du club lorrain;factuel;3;Nancy
ASNL;A.S.N.L.;4;clubs;Il a lancé la carrière de Platini;factuel;3;formation du meneur
ASNL;A.S.N.L.;4;clubs;Quatre lettres rouge et blanc;joueur;3;couleurs du club
ASSE;A.S.S.E.;4;clubs;Sigle du club le plus titré de France;factuel;1;dix titres nationaux
ASSE;A.S.S.E.;4;clubs;Il joue dans une enceinte surnommée le Chaudron;factuel;2;Geoffroy-Guichard
ASSE;A.S.S.E.;4;clubs;Quatre lettres vertes du Forez;joueur;2;couleur du maillot
AUBE;aube;4;fillfoot;Premier moment du jour, avant tout le monde;factuel;1;début de journée
AUBE;aube;4;fillfoot;Heure à laquelle part le car du déplacement;factuel;1;départ matinal
AUBE;aube;4;fillfoot;Celle d'une ère commence par un limogeage;joueur;1;changement de cycle
AUDI;Audi;4;competitions;Marque qui donnait son nom à un tournoi de pré-saison;factuel;3;épreuve amicale munichoise
AUDI;Audi;4;competitions;Quatre lettres aux quatre anneaux;joueur;1;logo de la marque
AUDI;Audi;4;competitions;Constructeur partenaire de grands clubs;factuel;2;sponsoring sportif
BADE;Badé;4;actuels;Défenseur français passé de Sévilla à Leverkusen;factuel;3;transfert de 2025
BADE;Badé;4;actuels;Il avait été formé au Havre;factuel;3;parcours du joueur
BADE;Badé;4;actuels;Quatre lettres très solides dans les duels;joueur;3;style du central
BAIN;bain;4;vocab;Froid, il suit immédiatement la rencontre;factuel;1;protocole de récupération
BAIN;bain;4;vocab;Le vestiaire en compte plusieurs;factuel;2;installations du club
BAIN;bain;4;vocab;De foule, il attend le champion;joueur;1;accueil des supporters
BALE;Bâle;4;clubs|legendes;Club suisse habitué des coupes d'Europe;factuel;2;implantation rhénane
BALE;Bâle;4;clubs|legendes;Ville helvétique au bord du Rhin;factuel;1;géographie
BALE;Bâle;4;clubs|legendes;Quatre lettres à la frontière de trois pays;joueur;2;situation géographique
BALE;Bâle;4;clubs|legendes;Un ailier gallois du Real portait ce nom;factuel;2;cinq Ligues des champions
BANC;banc;4;vocab;Les remplaçants s'y assoient;joueur;1;zone technique
BANC;banc;4;vocab;Il accueille aussi tout le staff;factuel;1;occupants de la zone technique
BANC;banc;4;vocab;Y rester trois mois est une punition;joueur;1;absence de temps de jeu
BARI;Bari;4;clubs;Ville hôte du Mondial 1990;factuel;2;édition italienne
BARI;Bari;4;clubs;Son stade a été dessiné par un grand architecte;factuel;3;enceinte de 1990
BARI;Bari;4;clubs;Quatre lettres du talon de la botte;joueur;2;situation géographique
BATS;Bats;4;legendes;Gardien des Bleus champions d'Europe en 1984;factuel;2;titre à domicile
BATS;Bats;4;legendes;Il a arrêté un penalty en huitième contre le Brésil;factuel;3;Mondial 1986
BATS;Bats;4;legendes;Quatre lettres qui signifient chauves-souris en anglais;joueur;1;homonymie
BEIN;beIN;4;culture;Diffuseur qatari du football en France;factuel;2;chaîne sportive
BEIN;beIN;4;culture;Il est arrivé sur le marché français en 2012;factuel;3;lancement de la chaîne
BEIN;beIN;4;culture;Quatre lettres qui diffusent aussi la Liga;joueur;2;offre de la chaîne
BEST;Best;4;legendes;Ailier nord-irlandais Ballon d'Or en 1968;factuel;2;lauréat mancunien
BEST;Best;4;legendes;Il a gagné la Coupe d'Europe la même année;factuel;3;titre de 1968
BEST;Best;4;legendes;Quatre lettres qui signifient meilleur en anglais;joueur;1;traduction
BLAS;Blas;4;actuels;Milieu offensif français passé par Nantes;factuel;3;carrière en Ligue 1
BLAS;Blas;4;actuels;Il tirait les coups francs des Canaris;factuel;3;spécialité du joueur
BLAS;Blas;4;actuels;Quatre lettres au tout petit gabarit;joueur;3;silhouette du joueur
BLEU;bleu;4;fillfoot;Couleur du maillot de la sélection française;factuel;1;équipe nationale
BLEU;bleu;4;fillfoot;Débutant qui découvre le vestiaire;factuel;2;novice
BLEU;bleu;4;fillfoot;Il en voit trente-six après le choc aérien;joueur;2;expression consacrée
BLOC;bloc;4;vocab;Distance entre la défense et l'attaque;factuel;3;compacité de l'équipe
BLOC;bloc;4;vocab;Bas, il colle à sa propre surface;factuel;2;organisation défensive basse
BLOC;bloc;4;vocab;Haut, il étouffe l'adversaire;joueur;2;pression avancée
BLOG;blog;4;culture;Site personnel où l'on écrit sur son club;factuel;2;média amateur
BLOG;blog;4;culture;Il a précédé les réseaux sociaux;factuel;2;histoire du web
BLOG;blog;4;culture;Quatre lettres formées à partir de deux mots anglais;joueur;2;étymologie
BOCA;Boca;4;clubs;Club argentin de la Bombonera;factuel;1;enceinte mythique
BOCA;Boca;4;clubs;Quatre lettres bleu et jaune de Buenos Aires;factuel;2;couleurs du club
BOCA;Boca;4;clubs;Son derby s'appelle le Superclasico;joueur;2;rivalité avec River
BOGA;Boga;4;actuels;Il a quitté Nice pour la Juventus;factuel;2;transfert de l'été 2026
BOGA;Boga;4;actuels;Ailier ivoirien du championnat de France;factuel;3;profil du joueur
BOGA;Boga;4;actuels;Quatre lettres parties en Serie A;joueur;2;destination du transfert
BOIS;bois;4;vocab;Les trouver, c'est frapper la barre ou le montant;factuel;2;expression consacrée
BOIS;bois;4;vocab;Les poteaux en étaient faits autrefois;factuel;2;matériau historique
BOIS;bois;4;vocab;Le ballon claque dessus et revient en jeu;joueur;1;frappe repoussée
BOLI;Boli;4;legendes;Auteur de la tête victorieuse en finale 1993;factuel;2;Marseille contre Milan
BOLI;Boli;4;legendes;Seul buteur français en finale de Coupe d'Europe;factuel;2;titre de l'OM
BOLI;Boli;4;legendes;Quatre lettres devenues cultes sur la Canebière;joueur;2;idole marseillaise
BOLY;Boly;4;actuels;Défenseur parisien de dix-sept ans;factuel;3;effectif 2026-2027
BOLY;Boly;4;actuels;Latéral droit du groupe professionnel parisien;factuel;3;liste de la saison
BOLY;Boly;4;actuels;Quatre lettres tout juste sorties du centre;joueur;2;jeune du club
BOND;bond;4;vocab;Saut brusque vers l'avant;factuel;1;acception courante
BOND;bond;4;vocab;Détente du gardien vers sa lucarne;factuel;1;geste de la parade
BOND;bond;4;vocab;Quatre lettres qui évoquent aussi un espion;joueur;1;homonymie
BOSS;boss;4;fillfoot;Anglicisme pour le patron du vestiaire;factuel;1;terme anglais
BOSS;boss;4;fillfoot;Le technicien anglais se fait appeler ainsi;factuel;2;usage britannique
BOSS;boss;4;fillfoot;Il décide de tout, même de la couleur du car;joueur;2;autorité du chef
BOUE;boue;4;fillfoot;Elle recouvre les maillots dès janvier;factuel;1;terrain gras
BOUE;boue;4;fillfoot;On ne distingue plus les couleurs à la pause;joueur;1;match sous la pluie
BOUE;boue;4;fillfoot;Y traîner un adversaire, ça ne se fait pas;joueur;2;expression consacrée
BOUT;bout;4;fillfoot;Il en reste toujours un à jouer;factuel;1;fin de rencontre
BOUT;bout;4;fillfoot;Aller jusqu'au sien, c'est atteindre la finale;joueur;1;parcours complet
BOUT;bout;4;fillfoot;Le ballon touché du sien du pied part mal;joueur;2;contact imprécis
BRAS;bras;4;fillfoot;Le ballon qui le touche déclenche le débat;factuel;1;appréciation de la main
BRAS;bras;4;fillfoot;Décollé du corps, il coûte onze mètres;factuel;2;critère d'appréciation
BRAS;bras;4;fillfoot;Le tireur les lève avant même que ça rentre;joueur;1;célébration anticipée
BREF;bref;4;fillfoot;Adjectif d'un discours de mi-temps réussi;factuel;2;causerie efficace
BREF;bref;4;fillfoot;Adjectif contraire de long;factuel;1;acception courante
BREF;bref;4;fillfoot;Quatre lettres qui résument une soirée ratée;joueur;1;conclusion rapide
BUHL;Bühl;4;feminin;Ailière allemande internationale;factuel;3;attaquante de la Mannschaft
BUHL;Bühl;4;feminin;Elle évolue au Bayern Munich;factuel;3;club de la joueuse
BUHL;Bühl;4;feminin;Quatre lettres très rapides sur le côté;joueur;3;qualité de l'ailière
BURY;Bury;4;clubs;Club anglais exclu de la ligue en 2019;factuel;3;faillite du club
BURY;Bury;4;clubs;Il avait remporté la Coupe d'Angleterre deux fois;factuel;3;palmarès ancien
BURY;Bury;4;clubs;Quatre lettres du Grand Manchester;joueur;3;implantation
BUZZ;buzz;4;culture;Bruit médiatique autour d'une action;factuel;1;phénomène en ligne
BUZZ;buzz;4;culture;Un transfert avorté en crée souvent un;joueur;1;emballement des réseaux
BUZZ;buzz;4;culture;Quatre lettres qui imitent un bourdonnement;factuel;1;étymologie
CAEN;Caen;4;clubs;Club normand du football français;factuel;2;implantation
CAEN;Caen;4;clubs;Sa ville accueille aussi un mémorial célèbre;factuel;2;patrimoine local
CAEN;Caen;4;clubs;Quatre lettres bleu et rouge;joueur;3;couleurs du club
CAFE;café;4;fillfoot;On y refait le championnat le lundi matin;factuel;1;discussions de comptoir
CAFE;café;4;fillfoot;La feinte de corps y envoie le défenseur;joueur;1;expression consacrée
CAFE;café;4;fillfoot;Le petit du matin avant la séance;joueur;2;routine du joueur
CAFU;Cafu;4;legendes;Il a disputé trois finales de Coupe du monde;factuel;2;1994, 1998 et 2002
CAFU;Cafu;4;legendes;Capitaine brésilien sacré en 2002;factuel;2;titre asiatique
CAFU;Cafu;4;legendes;Quatre lettres qui montaient et descendaient sans fin;joueur;2;latéral infatigable
CAGE;cage;4;vocab;Deux poteaux et une barre;factuel;1;structure du but
CAGE;cage;4;vocab;Le portier la garde;factuel;1;mission du gardien
CAGE;cage;4;vocab;Vide, elle ne se rate pas;joueur;1;occasion immanquable
CAMP;camp;4;vocab;Celui de l'adversaire, là où l'on veut jouer;factuel;1;moitié de terrain
CAMP;camp;4;vocab;On en change à la pause;factuel;1;inversion des côtés
CAMP;camp;4;vocab;Envoyer la balle dans sa propre cage fait mal;joueur;1;réalisation contre son camp
CAPO;capo;4;culture;Meneur de chants dos au terrain;factuel;2;figure du virage
CAPO;capo;4;culture;Il ne regarde presque jamais le match;joueur;1;particularité du rôle
CAPO;capo;4;culture;Quatre lettres perchées sur un grillage;joueur;2;position dans la tribune
CARL;Carl;4;legendes;Prénom d'origine germanique très porté au Nord;factuel;2;usage scandinave
CARL;Carl;4;legendes;Équivalent nordique de Charles;factuel;1;traduction du prénom
CARL;Carl;4;legendes;Quatre lettres fréquentes dans les vestiaires suédois;joueur;3;prénom courant
CECH;Cech;4;legendes;Gardien tchèque au casque reconnaissable;factuel;2;protection portée en jeu
CECH;Cech;4;legendes;Recordman de clean sheets en Premier League;factuel;3;statistique du portier
CECH;Cech;4;legendes;Quatre lettres passées de Chelsea à Arsenal;joueur;2;carrière londonienne
CENT;cent;4;fillfoot;Nombre de sélections qui ouvre un club très fermé;factuel;2;seuil symbolique
CENT;cent;4;fillfoot;Il faut les atteindre pour être centenaire;factuel;1;âge d'une institution
CENT;cent;4;fillfoot;Le club fête les siens avec un maillot spécial;joueur;1;centenaire d'une institution
CHAN;C.H.A.N.;4;competitions;Épreuve africaine réservée aux joueurs locaux;factuel;3;championnat des nations
CHAN;C.H.A.N.;4;competitions;Elle se distingue de la CAN par son règlement;factuel;3;critère de sélection
CHAN;C.H.A.N.;4;competitions;Quatre lettres pour les championnats locaux;joueur;3;vitrine du continent
CHEF;chef;4;fillfoot;Le capitaine en est un sur la pelouse;factuel;1;autorité sur le terrain
CHEF;chef;4;fillfoot;De file, il ouvre l'entrée des équipes;factuel;2;protocole d'avant-match
CHEF;chef;4;fillfoot;Il change tous les dix-huit mois;joueur;1;rotation des entraîneurs
CHOC;choc;4;vocab;Affiche entre deux prétendants au titre;factuel;1;match au sommet
CHOC;choc;4;vocab;Deux têtes qui se rencontrent en produisent un;factuel;2;contact aérien
CHOC;choc;4;vocab;Il remplit le stade à lui tout seul;joueur;1;attrait de l'affiche
CIEL;ciel;4;fillfoot;Le ballon y monte sur une chandelle;factuel;1;trajectoire haute
CIEL;ciel;4;fillfoot;Le tireur l'a regardé au lieu de viser;joueur;1;frappe au-dessus
CIEL;ciel;4;fillfoot;Il s'y adresse juste avant de frapper;joueur;2;geste de superstition
CISS;Ciss;4;actuels;Milieu sénégalais évoluant à Madrid;factuel;3;club espagnol
CISS;Ciss;4;actuels;Retenu pour le Mondial 2026;factuel;2;liste de Pape Thiaw
CISS;Ciss;4;actuels;Quatre lettres qui ratissent devant la défense;joueur;1;poste du joueur
CITY;City;4;clubs;Deuxième d'Angleterre en 2025-2026 avec 78 points;factuel;1;dauphin des Gunners
CITY;City;4;clubs;Vainqueur de la Coupe de la Ligue anglaise en 2026;factuel;2;neuvième titre dans l'épreuve
CITY;City;4;clubs;Quatre lettres qui désignent une ville en anglais;joueur;1;homonymie
CLAN;clan;4;fillfoot;Groupe soudé autour d'un joueur influent;factuel;2;dynamique de vestiaire
CLAN;clan;4;fillfoot;Le vestiaire s'y divise quand ça va mal;factuel;1;division interne
CLAN;clan;4;fillfoot;Deux d'entre eux et la saison est finie;joueur;2;fracture du groupe
CLIP;clip;4;culture;Extrait vidéo partagé après une action;factuel;1;format court
CLIP;clip;4;culture;C'est par lui qu'on découvre les anciens;joueur;1;transmission moderne
CLIP;clip;4;culture;Quatre lettres qui désignent aussi une vidéo musicale;factuel;1;acception courante
CLOU;clou;4;fillfoot;Petite pointe qui n'a rien à faire sur la pelouse;factuel;1;objet dangereux
CLOU;clou;4;fillfoot;Celui du spectacle, c'est la lucarne à la 90e;joueur;1;moment fort
CLOU;clou;4;fillfoot;River celui d'un rival, c'est le faire taire;joueur;2;expression consacrée
CLUB;club;4;vocab;Structure qui emploie les joueurs;factuel;1;entité sportive
CLUB;club;4;vocab;Formateur, il fabrique ses propres talents;factuel;2;label de formation
CLUB;club;4;vocab;On le quitte rarement sans un pincement;joueur;1;attachement du joueur
COIN;coin;4;vocab;Coup de pied donné depuis cet endroit;factuel;1;corner
COIN;coin;4;vocab;Le fanion y est planté;factuel;1;marquage du terrain
COIN;coin;4;vocab;Le tireur s'y installe et le stade se lève;joueur;1;phase arrêtée
COLE;Cole;4;legendes;Patronyme porté par plusieurs internationaux anglais;factuel;2;nom répandu
COLE;Cole;4;legendes;L'un d'eux fut le meilleur latéral gauche du pays;factuel;2;défenseur de Chelsea
COLE;Cole;4;legendes;Quatre lettres qui riment avec but en anglais;joueur;1;proximité sonore
COMO;Côme;4;clubs;Club italien au bord d'un lac très célèbre;factuel;3;Lombardie
COMO;Côme;4;clubs;Quatre lettres remontées récemment en Serie A;factuel;3;accession du club
COMO;Côme;4;clubs;Ville lombarde prisée des touristes;joueur;2;destination réputée
COPA;Copa;4;competitions;Épreuve continentale sud-américaine;factuel;2;America
COPA;Copa;4;competitions;Elle désigne aussi la Libertadores des clubs;factuel;2;compétition de clubs
COPA;Copa;4;competitions;Quatre lettres qui signifient coupe en espagnol;joueur;1;traduction
COTE;cote;4;vocab;Le bookmaker l'affiche avant le coup d'envoi;factuel;1;probabilité chiffrée
COTE;cote;4;vocab;Plus elle est haute, moins on y croit;factuel;2;logique des paris
COTE;cote;4;vocab;Celle du joueur grimpe après un beau match;joueur;1;valeur marchande
COUP;coup;4;vocab;Celui d'envoi lance la rencontre;factuel;1;début du match
COUP;coup;4;vocab;Franc, il sanctionne une faute;factuel;1;remise en jeu arrêtée
COUP;coup;4;vocab;Du sombrero, il passe au-dessus de l'adversaire;joueur;2;geste technique
CRAN;cran;4;fillfoot;Qualité morale que réclame un stade hostile;factuel;2;solidité mentale
CRAN;cran;4;fillfoot;En monter un, c'est franchir une étape;factuel;1;expression consacrée
CRAN;cran;4;fillfoot;Il en faut pour tirer le dernier des onze mètres;joueur;1;courage sous pression
CRIS;cris;4;fillfoot|legendes;Pluriel de ce que pousse la foule;factuel;1;grammaire française
CRIS;cris;4;fillfoot|legendes;Ils montent des gradins à la réalisation;factuel;1;réaction du public
CRIS;cris;4;fillfoot|legendes;Quatre lettres qui couvrent les consignes du banc;joueur;2;volume des tribunes
CRIS;cris;4;fillfoot|legendes;Un capitaine brésilien de Lyon était ainsi surnommé;factuel;3;défenseur central
CSKA;C.S.K.A.;4;clubs;Sigle porté par des clubs de l'Est;factuel;3;Moscou et Sofia
CSKA;C.S.K.A.;4;clubs;Il a remporté la Coupe UEFA en 2005;factuel;3;titre européen
CSKA;C.S.K.A.;4;clubs;Quatre lettres d'origine militaire;joueur;3;club de l'armée
CUIR;cuir;4;fillfoot;Matière du ballon d'autrefois;factuel;2;fabrication ancienne
CUIR;cuir;4;fillfoot;Matière des chaussures haut de gamme;factuel;1;équipement du joueur
CUIR;cuir;4;fillfoot;Il pesait deux fois plus lourd sous la pluie;joueur;2;ballon d'avant-guerre
CUVE;cuve;4;stades;Surnom de l'enceinte ovale de Rotterdam;factuel;3;De Kuip
CUVE;cuve;4;stades;Sa forme lui a valu ce nom;factuel;3;architecture du lieu
CUVE;cuve;4;stades;Quatre lettres qui gardent le son à l'intérieur;joueur;2;acoustique du stade
DALI;Dali;4;feminin;Milieu française passée par Lyon et le PSG;factuel;3;carrière de la joueuse
DALI;Dali;4;feminin;Elle porte le nom d'un peintre surréaliste;factuel;1;homonymie
DALI;Dali;4;feminin;Quatre lettres au toucher de balle rare;joueur;2;style de la joueuse
DATE;date;4;fillfoot;Celle du match est fixée par la ligue;factuel;1;calendrier officiel
DATE;date;4;fillfoot;Elle figure sur l'écusson de bien des clubs;factuel;2;année de fondation
DATE;date;4;fillfoot;Quatre lettres qui changent au gré des diffuseurs;joueur;2;programmation télévisée
DAZN;DAZN;4;culture;Plateforme de streaming sportif;factuel;2;diffuseur moderne
DAZN;DAZN;4;culture;Elle a acquis des droits du championnat français;factuel;3;marché des droits
DAZN;DAZN;4;culture;Quatre lettres sans une seule voyelle;joueur;2;particularité du nom
DECO;Deco;4;legendes;Il a gagné la C1 avec Porto puis avec le Barça;factuel;2;2004 et 2006
DECO;Deco;4;legendes;Brésilien de naissance devenu international portugais;factuel;2;changement de sélection
DECO;Deco;4;legendes;Quatre lettres au surnom plus court que le prénom;joueur;2;usage brésilien
DEFI;défi;4;fillfoot;Épreuve difficile qu'on accepte quand même;factuel;1;acception courante
DEFI;défi;4;fillfoot;Ce que représente un déplacement à l'Est;factuel;2;difficulté du match
DEFI;défi;4;fillfoot;Quatre lettres lancées la veille du derby;joueur;1;provocation d'avant-match
DENT;dent;4;fillfoot;Elle se serre quand le score l'est aussi;factuel;1;tension du joueur
DENT;dent;4;fillfoot;Il en a une contre l'homme au sifflet;joueur;1;rancune tenace
DENT;dent;4;fillfoot;Se les casser sur un bloc regroupé;joueur;1;expression consacrée
DEUX;deux;4;fillfoot;Nombre de mi-temps dans une rencontre;factuel;1;durée du match
DEUX;deux;4;fillfoot;Il en faut au moins autant pour un doublé;factuel;1;réalisations du buteur
DEUX;deux;4;fillfoot;Quatre lettres devant à zéro à la pause;joueur;1;score de mi-temps
DIAO;Diao;4;actuels;Ailier sénégalais évoluant à Séville;factuel;3;club espagnol
DIAO;Diao;4;actuels;Retenu pour la Coupe du monde 2026;factuel;1;liste de Pape Thiaw
DIAO;Diao;4;actuels;Quatre lettres dans l'attaque des Lions;joueur;1;poste du joueur
DIAS;Dias;4;actuels;Défenseur central portugais évoluant à Manchester;factuel;2;club anglais
DIAS;Dias;4;actuels;Patron de la charnière lusitanienne;factuel;1;poste en sélection
DIAS;Dias;4;actuels;Quatre lettres qui désignent des jours en portugais;joueur;2;homonymie
DIAZ;Díaz;4;actuels;Marocain qui a préféré les Lions à la Roja;factuel;2;choix de sélection
DIAZ;Díaz;4;actuels;Attaquant madrilène retenu pour le Mondial 2026;factuel;1;liste marocaine
DIAZ;Díaz;4;actuels;Quatre lettres et un patronyme très espagnol;joueur;1;origine du nom
DIDA;Dida;4;legendes;Gardien brésilien champion du monde en 2002;factuel;3;titre asiatique
DIDA;Dida;4;legendes;Deux fois champion d'Europe avec Milan;factuel;3;2003 et 2007
DIDA;Dida;4;legendes;Quatre lettres auriverde devant la cage;joueur;2;forme du surnom
DIOP;Diop;4;actuels;Défenseur parti de Fulham à Ipswich;factuel;3;transfert de dix millions
DIOP;Diop;4;actuels;Il a changé de club anglais à l'été 2026;factuel;2;mercato estival
DIOP;Diop;4;actuels;Quatre lettres pour un très grand gabarit;joueur;2;profil du joueur
DIRK;Dirk;4;legendes;Prénom d'un attaquant néerlandais de Liverpool;factuel;3;ailier batave
DIRK;Dirk;4;legendes;Prénom masculin très répandu aux Pays-Bas;factuel;2;usage néerlandais
DIRK;Dirk;4;legendes;Quatre lettres qui sonnent germanique;joueur;2;origine du nom
DOHA;Doha;4;stades;Capitale hôte du Mondial 2022;factuel;1;édition qatarie
DOHA;Doha;4;stades;La finale de 2022 s'est jouée dans sa banlieue;factuel;2;stade de Lusail
DOHA;Doha;4;stades;Quatre lettres climatisées jusque dans les enceintes;joueur;2;particularité du tournoi
DOKU;Doku;4;actuels;Ailier belge titulaire en quart de finale 2026;factuel;2;compo face à l'Espagne
DOKU;Doku;4;actuels;Il animait un couloir des Diables rouges;factuel;1;poste du joueur
DOKU;Doku;4;actuels;Quatre lettres qui dribblent sur un côté;joueur;1;profil du joueur
DOUE;Doué;4;actuels;Meilleur jeune du Mondial des clubs 2025;factuel;3;distinction FIFA
DOUE;Doué;4;actuels;Ailier parisien retenu pour le Mondial 2026;factuel;2;liste de Deschamps
DOUE;Doué;4;actuels;Son patronyme est un compliment tout trouvé;joueur;1;homonymie
DOUE;Doué;4;actuels;Meilleur jeune de la Ligue des champions;factuel;3;édition 2024-2025
DUEL;duel;4;vocab;Un contre un pour la possession;factuel;1;opposition directe
DUEL;duel;4;vocab;Compté gagné ou perdu par les statisticiens;factuel;2;donnée de match
DUEL;duel;4;vocab;Aérien, il fait mal aux nuques;joueur;2;contestation de balle en l'air
DUPE;Dupé;4;actuels;Gardien parti libre en direction de Nantes;factuel;3;mercato de l'été 2026
DUPE;Dupé;4;actuels;Portier ayant quitté Nice sans indemnité;factuel;3;fin de contrat
DUPE;Dupé;4;actuels;Quatre lettres qui évoquent une tromperie;joueur;1;homonymie
ECHO;écho;4;fillfoot;Répétition sonore que renvoie une enceinte vide;factuel;2;phénomène acoustique
ECHO;écho;4;fillfoot;Le chant en trouve un dans un stade désert;factuel;1;acoustique du lieu
ECHO;écho;4;fillfoot;La rumeur du mercato s'y propage;joueur;1;circulation des bruits
EDER;Éder;4;legendes;Auteur du but vainqueur de l'Euro 2016;factuel;2;finale contre la France
EDER;Éder;4;legendes;Il a frappé de loin en prolongation;factuel;2;but de Saint-Denis
EDER;Éder;4;legendes;Quatre lettres entrées en jeu pour tout changer;joueur;2;remplaçant décisif
EDIN;Edin;4;legendes;Prénom d'un buteur bosnien passé par Rome;factuel;3;attaquant balkanique
EDIN;Edin;4;legendes;Prénom masculin répandu dans les Balkans;factuel;2;usage régional
EDIN;Edin;4;legendes;Quatre lettres à une lettre d'une capitale écossaise;joueur;2;proximité orthographique
ELAN;élan;4;vocab;Course qui précède la frappe arrêtée;factuel;1;approche du ballon
ELAN;élan;4;vocab;Le tireur le raccourcit pour tromper le portier;joueur;2;feinte à la course
ELAN;élan;4;vocab;Coupé au mauvais moment, il gâche tout;joueur;2;interruption du geste
EMRE;Emre;4;legendes;Prénom turc porté par plusieurs internationaux;factuel;3;usage courant
EMRE;Emre;4;legendes;Quatre lettres passées par la Premier League;factuel;3;milieu anatolien
EMRE;Emre;4;legendes;Prénom masculin venu d'Anatolie;joueur;2;origine du nom
ENZO;Enzo;4;actuels;Prénom du milieu argentin sacré en 2022;factuel;2;entrejeu albiceleste
ENZO;Enzo;4;actuels;Prénom d'origine italienne très porté en France;factuel;1;usage courant
ENZO;Enzo;4;actuels;Quatre lettres finalistes du Mondial 2026;joueur;2;défaite contre l'Espagne
ERIC;Éric;4;legendes;Prénom du King de Manchester United;factuel;2;attaquant français
ERIC;Éric;4;legendes;Prénom masculin fréquent sur les feuilles de match;factuel;1;usage courant
ERIC;Éric;4;legendes;Quatre lettres au col toujours relevé;joueur;2;silhouette culte
ETAU;étau;4;vocab;Outil de serrage de l'établi;factuel;1;acception courante
ETAU;étau;4;vocab;Le pressing se referme comme lui sur le porteur;factuel;2;image consacrée
ETAU;étau;4;vocab;Quatre lettres qui étouffent la relance adverse;joueur;2;bloc haut
ETOO;Eto'o;4;legendes;Meilleur buteur de l'histoire du Cameroun;factuel;2;record des Lions
ETOO;Eto'o;4;legendes;Quadruple Ballon d'Or africain;factuel;2;palmarès continental
ETOO;Eto'o;4;legendes;Quatre lettres championnes d'Europe avec deux clubs;joueur;3;Barça et Inter
EURO;Euro;4;competitions;Championnat d'Europe des nations;factuel;1;compétition continentale
EURO;Euro;4;competitions;La France l'a gagné en 1984 et en 2000;factuel;1;deux titres tricolores
EURO;Euro;4;competitions;Quatre lettres qui désignent aussi une monnaie;joueur;1;homonymie
EVRA;Evra;4;legendes;Latéral gauche français de Manchester United;factuel;2;carrière anglaise
EVRA;Evra;4;legendes;Il a été capitaine des Bleus en 2010;factuel;2;brassard tricolore
EVRA;Evra;4;legendes;Quatre lettres devenues très populaires sur les réseaux;joueur;1;seconde vie médiatique
FAIM;faim;4;fillfoot;Appétit sportif du jeune qui vient d'arriver;factuel;1;motivation du débutant
FAIM;faim;4;fillfoot;Après trois titres, elle disparaît parfois;joueur;1;usure de la réussite
FAIM;faim;4;fillfoot;Elle vaut mieux que le talent, dit le staff;joueur;1;discours de vestiaire
FAUX;faux;4;fillfoot;Contraire du vrai, en une seule syllabe;factuel;1;acception courante
FAUX;faux;4;fillfoot;Neuf, il décroche au lieu de rester en pointe;factuel;3;rôle tactique moderne
FAUX;faux;4;fillfoot;Le rythme l'est quand plus rien ne fonctionne;joueur;1;jeu déréglé
FCGB;F.C.G.B.;4;clubs;Sigle du club girondin;factuel;3;Bordeaux
FCGB;F.C.G.B.;4;clubs;Il a été champion de France six fois;factuel;2;palmarès national
FCGB;F.C.G.B.;4;clubs;Quatre lettres marine et blanc;joueur;3;couleurs du club
FCSM;F.C.S.M.;4;clubs;Sigle du club fondé par un constructeur automobile;factuel;3;Sochaux
FCSM;F.C.S.M.;4;clubs;Il a été deux fois champion de France;factuel;3;palmarès historique
FCSM;F.C.S.M.;4;clubs;Quatre lettres jaune et bleu;joueur;3;couleurs du club
FEUX;feux;4;culture;De Bengale, ils illuminent le virage;factuel;2;engins pyrotechniques
FEUX;feux;4;culture;Ils sont interdits dans les enceintes;factuel;2;réglementation
FEUX;feux;4;culture;Quatre lettres qui valent une amende au club;joueur;2;sanction disciplinaire
FIFA;FIFA;4;competitions;Instance qui organise la Coupe du monde;factuel;1;fédération internationale
FIFA;FIFA;4;competitions;Quatre lettres dont le siège est en Suisse;factuel;2;implantation à Zurich
FIFA;FIFA;4;competitions;Elle a donné son nom à un jeu vidéo culte;joueur;1;licence de simulation
FIGO;Figo;4;legendes;Ballon d'Or portugais de l'an 2000;factuel;2;milieu offensif
FIGO;Figo;4;legendes;Son transfert du Barça au Real a fait scandale;factuel;2;opération de 2000
FIGO;Figo;4;legendes;Quatre lettres huées à chaque retour en Catalogne;joueur;2;accueil du Camp Nou
